1,-1,37,428,89,269,0.9985844,-1,-1,-1
2,-1,39,427,89,272,0.9986244,-1,-1,-1
3,-1,41,431,87,264,0.9989190,-1,-1,-1
4,-1,49,436,83,267,0.9988555,-1,-1,-1
5,-1,53,438,85,268,0.9989342,-1,-1,-1
6,-1,55,439,98,272,0.9980727,-1,-1,-1
7,-1,60,441,101,268,0.9980872,-1,-1,-1
8,-1,69,437,103,280,0.9984463,-1,-1,-1
9,-1,82,432,103,286,0.9988955,-1,-1,-1
10,-1,101,439,93,280,0.9986941,-1,-1,-1
11,-1,131,446,79,270,0.9968965,-1,-1,-1
12,-1,137,435,98,301,0.9987760,-1,-1,-1
13,-1,142,436,133,305,0.9992429,-1,-1,-1
14,-1,141,442,150,301,0.9992564,-1,-1,-1
15,-1,138,444,148,300,0.9994736,-1,-1,-1
16,-1,140,439,141,313,0.9996371,-1,-1,-1
17,-1,169,441,114,311,0.9993056,-1,-1,-1
18,-1,216,443,82,305,0.9990919,-1,-1,-1
19,-1,234,450,79,296,0.9992676,-1,-1,-1
20,-1,234,446,128,307,0.9996171,-1,-1,-1
21,-1,239,453,139,301,0.9995195,-1,-1,-1
22,-1,246,447,142,308,0.9994679,-1,-1,-1
23,-1,265,448,126,310,0.9994172,-1,-1,-1
24,-1,303,443,87,316,0.9993411,-1,-1,-1
25,-1,326,459,81,294,0.9991616,-1,-1,-1
26,-1,333,454,99,300,0.9994606,-1,-1,-1
27,-1,331,457,146,297,0.9997124,-1,-1,-1
28,-1,323,455,166,300,0.9998009,-1,-1,-1
29,-1,326,457,165,299,0.9997364,-1,-1,-1
30,-1,344,457,138,301,0.9996363,-1,-1,-1
31,-1,383,455,99,302,0.9995703,-1,-1,-1
32,-1,418,453,78,302,0.9991857,-1,-1,-1
33,-1,431,457,99,301,0.9994331,-1,-1,-1
34,-1,433,461,137,294,0.9997514,-1,-1,-1
35,-1,435,461,145,293,0.9997770,-1,-1,-1
36,-1,451,457,137,298,0.9997678,-1,-1,-1
37,-1,490,447,102,302,0.9996459,-1,-1,-1
38,-1,533,450,75,288,0.9995421,-1,-1,-1
39,-1,548,442,87,305,0.9995021,-1,-1,-1
40,-1,553,444,113,302,0.9997160,-1,-1,-1
41,-1,553,441,139,304,0.9997069,-1,-1,-1
42,-1,556,448,137,295,0.9997405,-1,-1,-1
43,-1,572,452,121,296,0.9993551,-1,-1,-1
44,-1,620,440,101,284,0.9993611,-1,-1,-1
45,-1,661,441,80,278,0.9991601,-1,-1,-1
46,-1,677,444,81,275,0.9994336,-1,-1,-1
47,-1,678,439,117,279,0.9996172,-1,-1,-1
48,-1,679,445,124,276,0.9997596,-1,-1,-1
49,-1,694,442,122,276,0.9996418,-1,-1,-1
50,-1,728,441,98,274,0.9992276,-1,-1,-1
51,-1,771,438,70,267,0.9997578,-1,-1,-1
52,-1,786,438,84,271,0.9995704,-1,-1,-1
53,-1,794,430,111,275,0.9997539,-1,-1,-1
54,-1,799,433,121,268,0.9996437,-1,-1,-1
55,-1,805,432,125,266,0.9996254,-1,-1,-1
56,-1,819,428,111,269,0.9993891,-1,-1,-1
57,-1,857,426,91,266,0.9991149,-1,-1,-1
58,-1,899,425,65,261,0.9990278,-1,-1,-1
59,-1,907,427,77,257,0.9992599,-1,-1,-1
60,-1,909,423,108,260,0.9996827,-1,-1,-1
61,-1,907,419,126,265,0.9996696,-1,-1,-1
62,-1,921,419,127,257,0.9994892,-1,-1,-1
